Number of Terminals	1

Terminal	Home Warehouse
Term-01	1

Transaction	Weight
% New-Order	45
% Payment	43
% Order-Status	4
% Delivery	4
% Stock-Level	4


Transaction Number	Terminal	Type	Execution Time (ms)		Comment
1	Term-01	Payment	250		None
2	Term-01	Payment	15		None
3	Term-01	Payment	78		None
4	Term-01	Delivery	532		None
5	Term-01	Payment	47		None
6	Term-01	New-Order	125		None
7	Term-01	New-Order	140		None
8	Term-01	Payment	16		None
9	Term-01	New-Order	78		None
10	Term-01	Payment	16		None
11	Term-01	Stock-Level	46		None
12	Term-01	Payment	16		None
13	Term-01	Payment	31		None
14	Term-01	Stock-Level	16		None
15	Term-01	New-Order	16		None
16	Term-01	Payment	0		None
17	Term-01	New-Order	31		None
18	Term-01	Payment	16		None
19	Term-01	New-Order	47		None
20	Term-01	Payment	0		None
21	Term-01	Payment	16		None
22	Term-01	New-Order	78		None
23	Term-01	New-Order	47		None
24	Term-01	Payment	62		None
25	Term-01	New-Order	109		None
26	Term-01	New-Order	47		None
27	Term-01	New-Order	47		None
28	Term-01	New-Order	16		None
29	Term-01	Payment	47		None
30	Term-01	Payment	0		None
31	Term-01	Payment	15		None
32	Term-01	Stock-Level	0		None
33	Term-01	Payment	16		None
34	Term-01	New-Order	31		None
35	Term-01	New-Order	31		None
36	Term-01	Payment	16		None
37	Term-01	Payment	0		None
38	Term-01	Payment	16		None
39	Term-01	Payment	15		None
40	Term-01	Payment	0		None
41	Term-01	Order-Status	16		None
42	Term-01	New-Order	31		None
43	Term-01	Stock-Level	16		None
44	Term-01	New-Order	31		None
45	Term-01	Payment	0		None
46	Term-01	New-Order	47		None
47	Term-01	New-Order	16		None
48	Term-01	Payment	15		None
49	Term-01	Stock-Level	16		None
50	Term-01	New-Order	172		None
51	Term-01	New-Order	78		None
52	Term-01	Payment	15		None
53	Term-01	New-Order	32		None
54	Term-01	New-Order	31		None
55	Term-01	Payment	16		None
56	Term-01	New-Order	31		None
57	Term-01	New-Order	47		None
58	Term-01	New-Order	62		None
59	Term-01	Order-Status	16		None
60	Term-01	Payment	15		None
61	Term-01	New-Order	32		None
62	Term-01	New-Order	109		None
63	Term-01	Payment	0		None
64	Term-01	Payment	16		None
65	Term-01	Payment	15		None
66	Term-01	Payment	0		None
67	Term-01	New-Order	32		None
68	Term-01	Payment	15		None
69	Term-01	Payment	0		None
70	Term-01	New-Order	47		None
71	Term-01	New-Order	31		None
72	Term-01	Payment	16		None
73	Term-01	Payment	0		None
74	Term-01	Delivery	94		None
75	Term-01	New-Order	125		None
76	Term-01	New-Order	218		None
77	Term-01	Order-Status	0		None
78	Term-01	Payment	47		None
79	Term-01	Payment	78		None
80	Term-01	New-Order	157		None
81	Term-01	Payment	62		None
82	Term-01	New-Order	156		None
83	Term-01	Payment	32		None
84	Term-01	New-Order	62		None
85	Term-01	Stock-Level	0		None
86	Term-01	New-Order	188		None
87	Term-01	New-Order	93		None
88	Term-01	New-Order	94		None
89	Term-01	New-Order	125		None
90	Term-01	New-Order	63		None
91	Term-01	Payment	15		None
92	Term-01	New-Order	172		None
93	Term-01	New-Order	500		None
94	Term-01	Payment	31		None
95	Term-01	New-Order	172		None
96	Term-01	Payment	16		None
97	Term-01	Payment	16		None
98	Term-01	Stock-Level	15		None
99	Term-01	Payment	16		None
100	Term-01	Payment	15		None
101	Term-01	New-Order	63		None
102	Term-01	Payment	62		None
103	Term-01	Order-Status	16		None
104	Term-01	Payment	0		None
105	Term-01	Payment	16		None
106	Term-01	Delivery	390		None
107	Term-01	New-Order	78		None
108	Term-01	Payment	16		None
109	Term-01	New-Order	47		None
110	Term-01	Payment	31		None
111	Term-01	New-Order	360		None
112	Term-01	Payment	15		None
113	Term-01	Payment	31		None
114	Term-01	Payment	16		None
115	Term-01	Stock-Level	0		None
116	Term-01	Payment	16		None
117	Term-01	Stock-Level	15		None
118	Term-01	Order-Status	16		None
119	Term-01	Payment	16		None
120	Term-01	Order-Status	31		None
121	Term-01	Order-Status	15		None
122	Term-01	New-Order	250		None
123	Term-01	Payment	0		None
124	Term-01	New-Order	32		None
125	Term-01	New-Order	109		None
126	Term-01	New-Order	63		None
127	Term-01	Payment	15		None
128	Term-01	New-Order	94		None
129	Term-01	New-Order	31		None
130	Term-01	Payment	16		None
131	Term-01	New-Order	234		None
132	Term-01	Payment	47		None
133	Term-01	New-Order	63		None
134	Term-01	New-Order	109		None
135	Term-01	Payment	16		None
136	Term-01	New-Order	109		None
137	Term-01	New-Order	78		None
138	Term-01	Payment	16		None
139	Term-01	Order-Status	62		None
140	Term-01	Payment	16		None
141	Term-01	New-Order	156		None
142	Term-01	New-Order	125		None
143	Term-01	Payment	16		None
144	Term-01	Payment	31		None
145	Term-01	Payment	16		None
146	Term-01	Stock-Level	15		None
147	Term-01	Payment	31		None
148	Term-01	Payment	47		None
149	Term-01	Payment	0		None
150	Term-01	New-Order	78		None
151	Term-01	Order-Status	109		None
152	Term-01	New-Order	532		None
153	Term-01	Payment	15		None
154	Term-01	Payment	16		None
155	Term-01	Payment	47		None
156	Term-01	New-Order	187		None
157	Term-01	New-Order	78		None
158	Term-01	Delivery	266		None
159	Term-01	New-Order	234		None
160	Term-01	Order-Status	110		None
161	Term-01	New-Order	31		None
162	Term-01	Payment	31		None
163	Term-01	New-Order	63		None
164	Term-01	New-Order	62		None
165	Term-01	Payment	16		None
166	Term-01	Payment	16		None
167	Term-01	Delivery	140		None
168	Term-01	Payment	16		None
169	Term-01	Payment	15		None
170	Term-01	New-Order	63		None
171	Term-01	New-Order	547		None
172	Term-01	Payment	31		None
173	Term-01	New-Order	141		None
174	Term-01	New-Order	78		None
175	Term-01	New-Order	156		None
176	Term-01	New-Order	500		None
177	Term-01	New-Order	141		None
178	Term-01	New-Order	125		None
179	Term-01	New-Order	47		None
180	Term-01	Payment	15		None
181	Term-01	New-Order	47		None
182	Term-01	Payment	16		None
183	Term-01	Payment	15		None
184	Term-01	New-Order	328		None
185	Term-01	New-Order	110		None
186	Term-01	Payment	15		None
187	Term-01	New-Order	94		None
188	Term-01	Payment	16		None
189	Term-01	Payment	15		None
190	Term-01	New-Order	63		None
191	Term-01	Payment	16		None
192	Term-01	Payment	31		None
193	Term-01	New-Order	125		None
194	Term-01	New-Order	47		None
195	Term-01	Payment	15		None
196	Term-01	Order-Status	16		None
197	Term-01	New-Order	156		None
198	Term-01	Payment	0		None
199	Term-01	New-Order	31		None
200	Term-01	Stock-Level	0		None
201	Term-01	New-Order	172		None
202	Term-01	New-Order	94		None
203	Term-01	Payment	31		None
204	Term-01	New-Order	125		None
205	Term-01	Payment	0		None
206	Term-01	New-Order	62		None
207	Term-01	Payment	16		None
208	Term-01	Payment	16		None
209	Term-01	New-Order	31		None
210	Term-01	Payment	31		None
211	Term-01	Payment	16		None
212	Term-01	Payment	0		None
213	Term-01	New-Order	109		None
214	Term-01	New-Order	125		None
215	Term-01	Payment	47		None
216	Term-01	New-Order	63		None
217	Term-01	New-Order	109		None
218	Term-01	New-Order	109		None
219	Term-01	New-Order	32		None
220	Term-01	Payment	0		None
221	Term-01	Payment	15		None
222	Term-01	New-Order	110		None
223	Term-01	New-Order	62		None
224	Term-01	Order-Status	94		None
225	Term-01	New-Order	172		None
226	Term-01	New-Order	156		None
227	Term-01	New-Order	94		None
228	Term-01	Payment	15		None
229	Term-01	Delivery	235		None
230	Term-01	Payment	47		None
231	Term-01	New-Order	78		None
232	Term-01	Payment	15		None
233	Term-01	Payment	0		None
234	Term-01	Payment	16		None
235	Term-01	Payment	16		None
236	Term-01	Payment	15		None
237	Term-01	New-Order	110		None
238	Term-01	New-Order	62		None
239	Term-01	Payment	16		None
240	Term-01	Payment	15		None
241	Term-01	New-Order	47		None
242	Term-01	New-Order	203		None
243	Term-01	Payment	16		None
244	Term-01	New-Order	62		None
245	Term-01	New-Order	63		None
246	Term-01	Payment	16		None
247	Term-01	Payment	15		None
248	Term-01	Stock-Level	16		None
249	Term-01	Payment	0		None
250	Term-01	Payment	15		None
251	Term-01	Order-Status	16		None
252	Term-01	New-Order	125		None
253	Term-01	Payment	0		None
254	Term-01	Payment	16		None
255	Term-01	New-Order	47		None
256	Term-01	New-Order	312		None
257	Term-01	New-Order	47		None
258	Term-01	Delivery	141		None
259	Term-01	Payment	46		None
260	Term-01	New-Order	63		None
261	Term-01	New-Order	141		None
262	Term-01	Payment	31		None
263	Term-01	Payment	0		None
264	Term-01	New-Order	140		None
265	Term-01	Payment	16		None
266	Term-01	New-Order	47		None
267	Term-01	New-Order	219		None
268	Term-01	New-Order	187		None
269	Term-01	New-Order	31		None
270	Term-01	Payment	16		None
271	Term-01	New-Order	47		None
272	Term-01	New-Order	31		None
273	Term-01	Payment	16		None
274	Term-01	Payment	15		None
275	Term-01	New-Order	47		None
276	Term-01	Payment	16		None
277	Term-01	New-Order	141		None
278	Term-01	Payment	15		None
279	Term-01	Payment	16		None
280	Term-01	Payment	0		None
281	Term-01	Payment	0		None
282	Term-01	Payment	16		None
283	Term-01	Payment	16		None
284	Term-01	Delivery	172		None
285	Term-01	New-Order	250		None


Measured tpmC	=60000*125/19313

Session Start	2005-12-04 01:18:35
Session End	2005-12-04 01:18:55
Transaction Count	285
